,Exams,Percentage,Solution_code1,Solution_code2,Time_code1,Time_code2
0,10,0.0,,2.0,,7.000000000000003e-06
1,10,0.1,,2.0,,7.000000000000003e-06
2,10,0.2,,2.0,,7.000000000000003e-06
3,10,0.30000000000000004,,2.0,,7.000000000000003e-06
4,10,0.4,,3.0,,1.4000000000000001e-05
5,10,0.5,,3.0,,3.7e-05
6,10,0.6000000000000001,,3.0,,3.6e-05
7,10,0.7000000000000001,,3.0,,2.8000000000000013e-05
8,10,0.8,,5.0,,0.000207
9,10,0.9,,5.0,,0.000151
10,10,1.0,,10.0,,0.06673
11,20,0.0,,2.0,,1.7e-05
12,20,0.1,,2.0,,2.7000000000000002e-05
13,20,0.2,,3.0,,0.000198
14,20,0.30000000000000004,,5.0,,0.009456
15,20,0.4,,5.0,,0.002571
16,20,0.5,,6.0,,0.015801
17,20,0.6000000000000001,,6.0,,0.004535
18,20,0.7000000000000001,,8.0,,0.659725
19,20,0.8,,10.0,,94.942359
20,20,0.9,,10.0,,68.150054
21,20,1.0,,-1.0,,300.000001
22,30,0.0,,2.0,,2.4e-05
23,30,0.1,,3.0,,6.9e-05
24,30,0.2,,4.0,,0.0007639999999999999
25,30,0.30000000000000004,,5.0,,0.071793
26,30,0.4,,6.0,,0.18845699999999999
27,30,0.5,,7.0,,1.928865
28,30,0.6000000000000001,,9.0,,133.791782
29,30,0.7000000000000001,,10.0,,116.869872
30,30,0.8,,-1.0,,300.000001
31,30,0.9,,-1.0,,300.000007
32,30,1.0,,-1.0,,300.000001
33,40,0.0,,2.0,,3.2e-05
34,40,0.1,,4.0,,0.240446
35,40,0.2,,5.0,,7.348056
36,40,0.30000000000000004,,6.0,,62.474906000000004
37,40,0.4,,-1.0,,300.000001
38,40,0.5,,-1.0,,300.000001
39,40,0.6000000000000001,,-1.0,,300.000001
40,40,0.7000000000000001,,-1.0,,300.000001
41,40,0.8,,-1.0,,300.000001
42,40,0.9,,-1.0,,300.000001
43,40,1.0,,-1.0,,300.000001
44,50,0.0,,2.0,,3.9e-05
45,50,0.1,,-1.0,,300.000001
46,50,0.2,,-1.0,,300.000001
47,50,0.30000000000000004,,-1.0,,300.000001
48,10,0.0,1.0,,4.6e-05,
49,10,0.1,2.0,,4.4e-05,
50,10,0.2,2.0,,4.6e-05,
51,10,0.30000000000000004,2.0,,4.6e-05,
52,10,0.4,3.0,,4.5e-05,
53,10,0.5,3.0,,6.8e-05,
54,10,0.6000000000000001,3.0,,6.8e-05,
55,10,0.7000000000000001,3.0,,6.2e-05,
56,10,0.8,5.0,,0.00016,
57,10,0.9,5.0,,0.00017,
58,10,1.0,10.0,,0.05692000000000001,
59,20,0.0,1.0,,0.000196,
60,20,0.1,2.0,,0.0002,
61,20,0.2,3.0,,0.000352,
62,20,0.30000000000000004,5.0,,0.008958,
63,20,0.4,5.0,,0.002545,
64,20,0.5,6.0,,0.016447999999999997,
65,20,0.6000000000000001,6.0,,0.005763,
66,20,0.7000000000000001,8.0,,0.6872020000000001,
67,20,0.8,10.0,,94.836241,
68,20,0.9,10.0,,69.293374,
69,20,1.0,-1.0,,300.000001,
70,30,0.0,1.0,,0.000424,
71,30,0.1,3.0,,0.00045,
72,30,0.2,4.0,,0.001075,
73,30,0.30000000000000004,5.0,,0.074141,
74,30,0.4,6.0,,0.190853,
75,30,0.5,7.0,,1.9287,
76,30,0.6000000000000001,9.0,,132.81989,
77,30,0.7000000000000001,10.0,,114.734713,
78,30,0.8,-1.0,,300.000001,
79,30,0.9,-1.0,,300.000001,
80,30,1.0,-1.0,,300.000001,
81,40,0.0,1.0,,0.0007639999999999999,
82,40,0.1,4.0,,0.264949,
83,40,0.2,5.0,,6.829806,
84,40,0.30000000000000004,6.0,,62.804824,
85,40,0.4,-1.0,,300.000001,
86,40,0.5,-1.0,,300.000001,
87,40,0.6000000000000001,-1.0,,300.000001,
88,40,0.7000000000000001,-1.0,,300.000001,
89,40,0.8,-1.0,,300.000001,
90,40,0.9,-1.0,,300.000001,
91,40,1.0,-1.0,,300.000001,
92,50,0.0,1.0,,0.001206,
93,50,0.1,-1.0,,300.000001,
94,50,0.2,-1.0,,300.000001,
95,50,0.30000000000000004,-1.0,,300.000001,
96,50,0.4,-1.0,,300.000001,
97,10,0.0,1.0,,6.1e-05,
98,10,0.01,1.0,,4.9e-05,
99,10,0.02,1.0,,4.9e-05,
100,10,0.03,1.0,,4.7e-05,
101,10,0.04,1.0,,4.9e-05,
102,10,0.05,2.0,,4.8e-05,
103,10,0.06,2.0,,4.7e-05,
104,10,0.07,2.0,,4.6e-05,
105,10,0.08,2.0,,4.5e-05,
106,10,0.09,2.0,,4.7e-05,
107,10,0.1,2.0,,5.3e-05,
108,20,0.0,1.0,,0.00020299999999999997,
109,20,0.01,2.0,,0.000194,
110,20,0.02,2.0,,0.00022999999999999998,
111,20,0.03,2.0,,0.000199,
112,20,0.04,2.0,,0.000199,
113,20,0.05,2.0,,0.000213,
114,20,0.06,2.0,,0.00020299999999999997,
115,20,0.07,2.0,,0.00023999999999999998,
116,20,0.08,2.0,,0.000221,
117,20,0.09,2.0,,0.00025,
118,20,0.1,2.0,,0.000212,
119,30,0.0,1.0,,0.000471,
120,30,0.01,2.0,,0.000459,
121,30,0.02,2.0,,0.000472,
122,30,0.03,2.0,,0.000439,
123,30,0.04,2.0,,0.00046100000000000004,
124,30,0.05,2.0,,0.00048499999999999997,
125,30,0.06,2.0,,0.000588,
126,30,0.07,3.0,,0.0008869999999999998,
127,30,0.08,3.0,,0.000745,
128,30,0.09,3.0,,0.000717,
129,30,0.1,3.0,,0.000503,
130,40,0.0,1.0,,0.000849,
131,40,0.01,2.0,,0.0008470000000000001,
132,40,0.02,2.0,,0.0009199999999999999,
133,40,0.03,3.0,,0.002784,
134,40,0.04,3.0,,0.001112,
135,40,0.05,3.0,,160.040788,
136,10,0.0,,2.0,,8e-06
137,10,0.01,,2.0,,8e-06
138,10,0.02,,2.0,,8e-06
139,10,0.03,,2.0,,6e-06
140,10,0.04,,2.0,,8e-06
141,10,0.05,,2.0,,1e-05
142,10,0.06,,2.0,,8e-06
143,10,0.07,,2.0,,8e-06
144,10,0.08,,2.0,,7.000000000000002e-06
145,10,0.09,,2.0,,9e-06
146,10,0.1,,2.0,,8e-06
147,20,0.0,,2.0,,1.8e-05
148,20,0.01,,2.0,,1.8e-05
149,20,0.02,,2.0,,1.8e-05
150,20,0.03,,2.0,,1.9e-05
151,20,0.04,,2.0,,1.8e-05
152,20,0.05,,2.0,,1.8e-05
153,20,0.06,,2.0,,1.8e-05
154,20,0.07,,2.0,,5.7e-05
155,20,0.08,,2.0,,3.9e-05
156,20,0.09,,2.0,,6.7e-05
157,20,0.1,,2.0,,2.8000000000000006e-05
158,30,0.0,,2.0,,2.6e-05
159,30,0.01,,2.0,,2.7e-05
