,Exams,Percentage,Seed1,Seed2,Solution_code1,Time_code1,Solution_code2,Time_code2
0,5,0.0,1325,31235,1.0,9e-06,,
1,5,0.0,1325,31236,1.0,9e-06,,
2,5,0.0,1325,31237,1.0,8e-06,,
3,5,0.0,1325,31238,1.0,8e-06,,
4,5,0.0,1325,31239,1.0,2e-05,,
5,5,0.0,1325,31240,1.0,8e-06,,
6,5,0.0,1326,31235,1.0,8e-06,,
7,5,0.0,1326,31236,1.0,8e-06,,
8,5,0.0,1326,31237,1.0,1e-05,,
9,5,0.0,1326,31238,1.0,9e-06,,
10,5,0.0,1326,31239,1.0,9e-06,,
11,5,0.0,1326,31240,1.0,8e-06,,
12,5,0.0,1327,31235,1.0,8e-06,,
13,5,0.0,1327,31236,1.0,8e-06,,
14,5,0.0,1327,31237,1.0,9e-06,,
15,5,0.0,1327,31238,1.0,9e-06,,
16,5,0.0,1327,31239,1.0,9e-06,,
17,5,0.0,1327,31240,1.0,9e-06,,
18,5,0.0,1328,31235,1.0,9e-06,,
19,5,0.0,1328,31236,1.0,8e-06,,
20,5,0.0,1328,31237,1.0,8e-06,,
21,5,0.0,1328,31238,1.0,8e-06,,
22,5,0.0,1328,31239,1.0,8e-06,,
23,5,0.0,1328,31240,1.0,8e-06,,
24,5,0.0,1329,31235,1.0,8e-06,,
25,5,0.0,1329,31236,1.0,8e-06,,
26,5,0.0,1329,31237,1.0,9e-06,,
27,5,0.0,1329,31238,1.0,8e-06,,
28,5,0.0,1329,31239,1.0,9e-06,,
29,5,0.0,1329,31240,1.0,9e-06,,
30,5,0.0,1330,31235,1.0,9e-06,,
31,5,0.0,1330,31236,1.0,8e-06,,
32,5,0.0,1330,31237,1.0,8e-06,,
33,5,0.0,1330,31238,1.0,8e-06,,
34,5,0.0,1330,31239,1.0,8e-06,,
35,5,0.0,1330,31240,1.0,8e-06,,
36,5,0.01,1325,31235,1.0,9e-06,,
37,5,0.01,1325,31236,1.0,9e-06,,
38,5,0.01,1325,31237,1.0,9e-06,,
39,5,0.01,1325,31238,1.0,9e-06,,
40,5,0.01,1325,31239,1.0,8e-06,,
41,5,0.01,1325,31240,1.0,8e-06,,
42,5,0.01,1326,31235,1.0,8e-06,,
43,5,0.01,1326,31236,1.0,8e-06,,
44,5,0.01,1326,31237,1.0,9e-06,,
45,5,0.01,1326,31238,1.0,8e-06,,
46,5,0.01,1326,31239,1.0,9e-06,,
47,5,0.01,1326,31240,1.0,8e-06,,
48,5,0.01,1327,31235,2.0,9e-06,,
49,5,0.01,1327,31236,2.0,7.000000000000001e-06,,
50,5,0.01,1327,31237,2.0,8e-06,,
51,5,0.01,1327,31238,2.0,7.000000000000001e-06,,
52,5,0.01,1327,31239,2.0,8e-06,,
53,5,0.01,1327,31240,2.0,8e-06,,
54,5,0.01,1328,31235,1.0,8e-06,,
55,5,0.01,1328,31236,1.0,9e-06,,
56,5,0.01,1328,31237,1.0,9e-06,,
57,5,0.01,1328,31238,1.0,9e-06,,
58,5,0.01,1328,31239,1.0,8e-06,,
59,5,0.01,1328,31240,1.0,8e-06,,
60,5,0.01,1329,31235,1.0,9e-06,,
61,5,0.01,1329,31236,1.0,8e-06,,
62,5,0.01,1329,31237,1.0,9e-06,,
63,5,0.01,1329,31238,1.0,8e-06,,
64,5,0.01,1329,31239,1.0,8e-06,,
65,5,0.01,1329,31240,1.0,8e-06,,
66,5,0.01,1330,31235,1.0,9e-06,,
67,5,0.01,1330,31236,1.0,9e-06,,
68,5,0.01,1330,31237,1.0,8e-06,,
69,5,0.01,1330,31238,1.0,8e-06,,
70,5,0.01,1330,31239,1.0,9e-06,,
71,5,0.01,1330,31240,1.0,8e-06,,
72,5,0.02,1325,31235,1.0,9e-06,,
73,5,0.02,1325,31236,1.0,9e-06,,
74,5,0.02,1325,31237,1.0,9e-06,,
75,5,0.02,1325,31238,1.0,8e-06,,
76,5,0.02,1325,31239,1.0,8e-06,,
77,5,0.02,1325,31240,1.0,9e-06,,
78,5,0.02,1326,31235,1.0,9e-06,,
79,5,0.02,1326,31236,1.0,8e-06,,
80,5,0.02,1326,31237,1.0,8e-06,,
81,5,0.02,1326,31238,1.0,8e-06,,
82,5,0.02,1326,31239,1.0,8e-06,,
83,5,0.02,1326,31240,1.0,9e-06,,
84,5,0.02,1327,31235,2.0,8e-06,,
85,5,0.02,1327,31236,2.0,7.000000000000001e-06,,
86,5,0.02,1327,31237,2.0,8e-06,,
87,5,0.02,1327,31238,2.0,7.000000000000001e-06,,
88,5,0.02,1327,31239,2.0,8e-06,,
89,5,0.02,1327,31240,2.0,7.000000000000001e-06,,
90,5,0.02,1328,31235,1.0,8e-06,,
91,5,0.02,1328,31236,1.0,9e-06,,
92,5,0.02,1328,31237,1.0,8e-06,,
93,5,0.02,1328,31238,1.0,9e-06,,
94,5,0.02,1328,31239,1.0,8e-06,,
95,5,0.02,1328,31240,1.0,9e-06,,
96,5,0.02,1329,31235,1.0,8e-06,,
97,5,0.02,1329,31236,1.0,8e-06,,
98,5,0.02,1329,31237,1.0,9e-06,,
99,5,0.02,1329,31238,1.0,8e-06,,
100,5,0.02,1329,31239,1.0,9e-06,,
101,5,0.02,1329,31240,1.0,8e-06,,
102,5,0.02,1330,31235,1.0,9e-06,,
103,5,0.02,1330,31236,1.0,8e-06,,
104,5,0.02,1330,31237,1.0,8e-06,,
105,5,0.02,1330,31238,1.0,8e-06,,
106,5,0.02,1330,31239,1.0,8e-06,,
107,5,0.02,1330,31240,1.0,8e-06,,
108,5,0.03,1325,31235,1.0,8e-06,,
109,5,0.03,1325,31236,1.0,9e-06,,
110,5,0.03,1325,31237,1.0,8e-06,,
111,5,0.03,1325,31238,1.0,8e-06,,
112,5,0.03,1325,31239,1.0,9e-06,,
113,5,0.03,1325,31240,1.0,9e-06,,
114,5,0.03,1326,31235,1.0,8e-06,,
115,5,0.03,1326,31236,1.0,8e-06,,
116,5,0.03,1326,31237,1.0,9e-06,,
117,5,0.03,1326,31238,1.0,8e-06,,
118,5,0.03,1326,31239,1.0,9e-06,,
119,5,0.03,1326,31240,1.0,8e-06,,
