,Exams,Percentage,Seed1,Seed2,Solution_code1,Time_code1,Solution_code2,Time_code2
0,15,0.75,1382,31292,7.0,0.001579,,
1,15,0.75,1387,31320,7.0,0.047212,,
2,15,0.75,1421,31246,8.0,0.067232,,
3,15,0.75,1351,31273,7.0,0.008373,,
4,15,0.75,1365,31331,7.0,0.008317,,
5,15,0.75,1354,31320,6.0,0.00485,,
6,15,0.75,1356,31271,6.0,0.01039,,
7,15,0.75,1329,31240,8.0,0.057465,,
8,15,0.75,1346,31265,9.0,0.231341,,
9,15,0.75,1397,31290,6.0,0.000447,,
10,15,0.75,1372,31298,6.0,0.002301,,
11,15,0.75,1339,31240,7.0,0.011277,,
12,15,0.75,1405,31278,7.0,0.000631,,
13,15,0.75,1328,31309,8.0,0.060134,,
14,15,0.75,1327,31286,7.0,0.001258,,
15,15,0.75,1373,31243,7.0,0.000366,,
16,15,0.75,1370,31290,7.0,0.003,,
17,15,0.75,1419,31305,8.0,0.128941,,
18,15,0.75,1334,31261,7.0,0.002199,,
19,15,0.75,1399,31288,7.0,0.015386,,
20,15,0.75,1346,31331,9.0,0.049698,,
21,15,0.75,1353,31287,7.0,0.036559,,
22,15,0.75,1412,31305,7.0,0.012621,,
23,15,0.75,1387,31251,7.0,0.003845,,
24,15,0.75,1372,31252,6.0,0.00059,,
25,15,0.75,1332,31299,8.0,0.151529,,
26,15,0.75,1339,31289,7.0,0.011956,,
27,15,0.75,1376,31273,7.0,0.006811,,
28,15,0.75,1391,31305,9.0,0.212637,,
29,15,0.75,1401,31297,6.0,0.001172,,
30,15,0.75,1370,31335,7.0,0.007931,,
31,15,0.75,1327,31332,7.0,0.00274,,
32,15,0.75,1376,31296,7.0,0.001798,,
33,15,0.75,1415,31315,7.0,0.00646,,
34,15,0.75,1372,31291,6.0,0.000699,,
35,15,0.75,1410,31297,8.0,0.151953,,
36,15,0.75,1371,31283,7.0,0.002597,,
37,15,0.75,1336,31319,7.0,0.001394,,
38,15,0.75,1348,31288,8.0,0.019927,,
39,15,0.75,1396,31306,7.0,0.009092,,
40,15,0.75,1333,31335,9.0,0.517981,,
41,15,0.75,1373,31288,7.0,0.006864,,
42,15,0.75,1419,31295,8.0,0.069536,,
43,15,0.75,1344,31298,7.0,0.000776,,
44,15,0.75,1402,31276,7.0,0.003707,,
45,15,0.75,1364,31290,7.0,0.007748,,
46,15,0.75,1422,31326,7.0,0.001579,,
47,15,0.75,1378,31240,7.0,0.00065,,
48,15,0.75,1383,31276,7.0,0.009083,,
49,15,0.75,1405,31316,7.0,0.004532,,
50,15,0.75,1404,31248,7.0,0.010091,,
51,15,0.75,1347,31274,7.0,0.002802,,
52,15,0.75,1353,31261,7.0,0.010612,,
53,15,0.75,1410,31317,8.0,0.002922,,
54,15,0.75,1382,31279,7.0,0.006171,,
55,15,0.75,1351,31307,7.0,0.004689,,
56,15,0.75,1398,31310,7.0,0.008403,,
57,15,0.75,1349,31285,8.0,0.01361,,
58,15,0.75,1411,31312,7.0,0.003196,,
59,15,0.75,1382,31271,7.0,0.012327,,
60,15,0.75,1423,31242,7.0,0.013248,,
61,15,0.75,1358,31316,6.0,0.000587,,
62,15,0.75,1369,31331,8.0,0.077726,,
63,15,0.75,1329,31272,8.0,0.046559,,
64,15,0.75,1408,31265,7.0,0.001585,,
65,15,0.75,1385,31311,6.0,0.000374,,
66,15,0.75,1351,31290,7.0,0.006982,,
67,15,0.75,1393,31292,8.0,0.066986,,
68,15,0.75,1419,31308,8.0,0.055274,,
69,15,0.75,1363,31283,7.0,0.00369,,
70,15,0.75,1339,31274,7.0,0.010875,,
71,15,0.75,1408,31258,7.0,0.001605,,
72,15,0.75,1403,31312,7.0,0.001925,,
73,15,0.75,1408,31303,7.0,0.007965,,
74,15,0.75,1390,31264,8.0,0.111504,,
75,15,0.75,1347,31295,7.0,0.00492,,
76,15,0.75,1340,31331,7.0,0.009347,,
77,15,0.75,1398,31274,7.0,0.005801,,
78,15,0.75,1362,31275,7.0,0.01813,,
79,15,0.75,1369,31320,8.0,0.007537,,
80,15,0.75,1373,31292,7.0,0.000788,,
81,15,0.75,1369,31279,8.0,0.034608,,
82,15,0.75,1360,31252,6.0,0.001335,,
83,15,0.75,1341,31257,8.0,0.023577,,
84,15,0.75,1362,31300,7.0,0.096785,,
85,15,0.75,1380,31272,7.0,0.001753,,
86,15,0.75,1379,31286,8.0,0.050981,,
87,15,0.75,1326,31299,7.0,0.004903,,
88,15,0.75,1402,31284,7.0,0.003027,,
89,15,0.75,1396,31290,7.0,0.002546,,
90,15,0.75,1389,31304,7.0,0.001556,,
91,15,0.75,1358,31236,6.0,0.000483,,
92,15,0.75,1367,31289,6.0,0.000665,,
93,15,0.75,1340,31284,7.0,0.001539,,
94,15,0.75,1326,31296,7.0,0.002944,,
95,15,0.75,1340,31306,7.0,0.028062,,
96,15,0.75,1351,31258,7.0,0.001761,,
97,15,0.75,1396,31256,7.0,0.006388,,
98,15,0.75,1331,31298,8.0,0.008315,,
99,15,0.75,1334,31331,7.0,0.003837,,
100,15,0.75,1411,31236,7.0,0.020084,,
101,15,0.75,1413,31311,10.0,5.414049,,
102,15,0.75,1351,31325,7.0,0.003881,,
103,15,0.75,1378,31276,7.0,0.018719,,
104,15,0.75,1424,31333,8.0,0.029467,,
105,15,0.75,1340,31303,7.0,0.003938,,
106,15,0.75,1359,31286,8.0,0.018429,,
107,15,0.75,1352,31323,7.0,0.017179,,
108,15,0.75,1408,31309,7.0,0.002308,,
109,15,0.75,1336,31276,7.0,0.008454,,
110,15,0.75,1327,31260,7.0,0.01529,,
111,15,0.75,1355,31335,9.0,0.074284,,
112,15,0.75,1421,31317,8.0,0.064273,,
113,15,0.75,1348,31250,8.0,0.003044,,
114,15,0.75,1341,31290,8.0,0.089282,,
115,15,0.75,1368,31310,7.0,0.008882,,
116,15,0.75,1378,31274,7.0,0.007706,,
117,15,0.75,1367,31292,6.0,0.000577,,
118,15,0.75,1415,31309,7.0,0.001202,,
119,15,0.75,1359,31313,8.0,0.032205,,
120,15,0.75,1394,31314,7.0,0.005363,,
121,15,0.75,1372,31313,6.0,0.00066,,
122,15,0.75,1385,31315,6.0,0.000265,,
123,15,0.75,1372,31264,6.0,0.000992,,
124,15,0.75,1351,31307,7.0,0.004667,,
125,15,0.75,1372,31247,6.0,0.000846,,
126,15,0.75,1387,31327,7.0,0.001603,,
127,15,0.75,1382,31320,7.0,0.027803,,
128,15,0.75,1398,31254,7.0,0.004709,,
129,15,0.75,1372,31279,6.0,0.001969,,
130,15,0.75,1365,31265,7.0,0.003405,,
131,15,0.75,1415,31262,7.0,0.006727,,
132,15,0.75,1407,31334,9.0,0.183394,,
133,15,0.75,1352,31274,7.0,0.002652,,
134,15,0.75,1401,31294,6.0,0.000484,,
135,15,0.75,1342,31314,7.0,0.049839,,
136,15,0.75,1389,31288,7.0,0.006583,,
137,15,0.75,1377,31310,8.0,0.131935,,
138,15,0.75,1361,31249,6.0,0.001993,,
139,15,0.75,1346,31326,9.0,0.488409,,
140,15,0.75,1346,31291,9.0,0.18755,,
141,15,0.75,1330,31237,7.0,0.013524,,
142,15,0.75,1396,31310,7.0,0.019698,,
143,15,0.75,1413,31256,10.0,1.577127,,
144,15,0.75,1354,31276,6.0,0.001502,,
145,15,0.75,1341,31319,8.0,0.008802,,
146,15,0.75,1379,31268,8.0,0.097475,,
147,15,0.75,1394,31275,7.0,0.007024,,
148,15,0.75,1402,31316,7.0,0.002185,,
149,15,0.75,1368,31326,7.0,0.003556,,
150,15,0.75,1392,31271,8.0,0.050956,,
151,15,0.75,1344,31328,7.0,0.003215,,
152,15,0.75,1412,31255,7.0,0.001816,,
153,15,0.75,1374,31254,7.0,0.000822,,
154,15,0.75,1355,31319,9.0,0.404199,,
155,15,0.75,1416,31284,8.0,0.051461,,
156,15,0.75,1359,31239,8.0,0.015052,,
157,15,0.75,1371,31238,7.0,0.003319,,
158,15,0.75,1360,31311,6.0,0.000521,,
159,15,0.75,1352,31329,7.0,0.017003,,
160,15,0.75,1392,31293,8.0,0.046863,,
161,15,0.75,1382,31244,7.0,0.001738,,
162,15,0.75,1368,31331,7.0,0.001755,,
163,15,0.75,1352,31274,7.0,0.002615,,
164,15,0.75,1347,31261,7.0,0.003894,,
165,15,0.75,1351,31299,7.0,0.00991,,
166,15,0.75,1369,31277,8.0,0.040271,,
167,15,0.75,1399,31278,7.0,0.009947,,
168,15,0.75,1349,31264,8.0,0.122637,,
169,15,0.75,1420,31266,8.0,0.205373,,
170,15,0.75,1353,31272,7.0,0.003138,,
171,15,0.75,1349,31239,8.0,0.139663,,
172,15,0.75,1371,31275,7.0,0.007298,,
173,15,0.75,1369,31282,8.0,0.0739,,
174,15,0.75,1385,31268,6.0,0.003046,,
175,15,0.75,1385,31273,6.0,0.000519,,
176,15,0.75,1388,31256,8.0,0.027214,,
177,15,0.75,1345,31333,6.0,0.004041,,
178,15,0.75,1416,31332,8.0,0.050242,,
179,15,0.75,1380,31283,7.0,0.00639,,
180,15,0.75,1346,31296,9.0,0.13766,,
181,15,0.75,1414,31318,8.0,0.021043,,
182,15,0.75,1411,31265,7.0,0.002004,,
183,15,0.75,1354,31284,6.0,0.001191,,
184,15,0.75,1422,31283,7.0,0.005701,,
185,15,0.75,1348,31296,8.0,0.012061,,
186,15,0.75,1392,31295,8.0,0.013031,,
187,15,0.75,1348,31236,8.0,0.032018,,
188,15,0.75,1390,31245,8.0,0.134394,,
189,15,0.75,1329,31271,8.0,0.071142,,
190,15,0.75,1360,31275,6.0,0.000467,,
191,15,0.75,1396,31323,7.0,0.010148,,
192,15,0.75,1342,31316,7.0,0.004601,,
193,15,0.75,1393,31315,8.0,0.030061,,
194,15,0.75,1406,31329,8.0,0.085718,,
195,15,0.75,1401,31316,6.0,0.000393,,
196,15,0.75,1359,31291,8.0,0.045638,,
197,15,0.75,1394,31332,7.0,0.001079,,
198,15,0.75,1354,31311,6.0,0.001584,,
199,15,0.75,1337,31238,7.0,0.055308,,
200,15,0.75,1385,31254,6.0,0.000626,,
201,15,0.75,1398,31269,7.0,0.010463,,
202,15,0.75,1421,31292,8.0,0.024726,,
203,15,0.75,1337,31254,7.0,0.003401,,
204,15,0.75,1412,31281,7.0,0.008751,,
205,15,0.75,1359,31322,8.0,0.011176,,
206,15,0.75,1425,31267,7.0,0.005427,,
207,15,0.75,1380,31236,7.0,0.00118,,
208,15,0.75,1384,31322,7.0,0.004386,,
209,15,0.75,1364,31312,7.0,0.005446,,
210,15,0.75,1343,31313,7.0,0.008365,,
211,15,0.75,1398,31246,7.0,0.01219,,
212,15,0.75,1382,31254,7.0,0.009996,,
213,15,0.75,1416,31244,8.0,0.225705,,
214,15,0.75,1400,31270,7.0,0.00131,,
215,15,0.75,1339,31289,7.0,0.011197,,
216,15,0.75,1346,31332,9.0,0.321301,,
217,15,0.75,1348,31271,8.0,0.01934,,
218,15,0.75,1372,31269,6.0,0.000606,,
219,15,0.75,1422,31283,7.0,0.005883,,
220,15,0.75,1379,31279,8.0,0.0333,,
221,15,0.75,1381,31289,7.0,0.011153,,
222,15,0.75,1402,31319,7.0,0.001154,,
223,15,0.75,1381,31293,7.0,0.004921,,
224,15,0.75,1359,31330,8.0,0.032374,,
225,15,0.75,1343,31280,7.0,0.009593,,
226,15,0.75,1353,31256,7.0,0.009882,,
227,15,0.75,1365,31333,7.0,0.002937,,
228,15,0.75,1362,31320,7.0,0.021516,,
229,15,0.75,1419,31332,8.0,0.046383,,
230,15,0.75,1412,31294,7.0,0.011807,,
231,15,0.75,1366,31277,8.0,0.020442,,
232,15,0.75,1338,31301,6.0,0.000842,,
233,15,0.75,1397,31247,6.0,0.002048,,
234,15,0.75,1386,31242,8.0,0.082238,,
235,15,0.75,1354,31245,6.0,0.004474,,
236,15,0.75,1413,31280,10.0,8.959786,,
237,15,0.75,1378,31266,7.0,0.009207,,
238,15,0.75,1395,31308,8.0,0.050983,,
239,15,0.75,1395,31310,8.0,0.010665,,
240,15,0.75,1385,31253,6.0,0.000549,,
241,15,0.75,1360,31282,6.0,0.000685,,
242,15,0.75,1400,31307,7.0,0.007173,,
243,15,0.75,1378,31314,7.0,0.004748,,
244,15,0.75,1347,31272,7.0,0.003078,,
245,15,0.75,1332,31305,8.0,0.005871,,
246,15,0.75,1360,31295,6.0,0.000316,,
247,15,0.75,1355,31258,9.0,0.377648,,
248,15,0.75,1378,31243,7.0,0.007439,,
249,15,0.75,1365,31280,7.0,0.001661,,
250,15,0.75,1347,31297,7.0,0.014837,,
251,15,0.75,1359,31259,8.0,0.048578,,
252,15,0.75,1391,31250,9.0,0.394798,,
253,15,0.75,1418,31302,7.0,0.012793,,
254,15,0.75,1328,31332,8.0,0.05638,,
255,15,0.75,1375,31271,7.0,0.002107,,
256,15,0.75,1386,31310,8.0,0.042684,,
257,15,0.75,1365,31253,7.0,0.001899,,
258,15,0.75,1334,31327,7.0,0.001366,,
259,15,0.75,1387,31252,7.0,0.006862,,
260,15,0.75,1377,31296,8.0,0.20504,,
261,15,0.75,1420,31322,8.0,0.031432,,
262,15,0.75,1333,31293,9.0,0.689777,,
263,15,0.75,1373,31289,7.0,0.001659,,
264,15,0.75,1387,31324,7.0,0.018078,,
265,15,0.75,1424,31262,8.0,0.050714,,
266,15,0.75,1369,31309,8.0,0.070309,,
267,15,0.75,1333,31299,9.0,0.215135,,
268,15,0.75,1327,31308,7.0,0.005062,,
269,15,0.75,1412,31243,7.0,0.004378,,
270,15,0.75,1384,31244,7.0,0.008561,,
271,15,0.75,1352,31238,7.0,0.013145,,
272,15,0.75,1348,31255,8.0,0.04434,,
273,15,0.75,1375,31309,7.0,0.004915,,
274,15,0.75,1401,31329,6.0,0.001721,,
275,15,0.75,1347,31301,7.0,0.008373,,
276,15,0.75,1397,31319,6.0,0.000383,,
277,15,0.75,1377,31326,8.0,0.086172,,
278,15,0.75,1400,31297,7.0,0.002921,,
279,15,0.75,1368,31236,7.0,0.00432,,
280,15,0.75,1398,31306,7.0,0.004605,,
281,15,0.75,1349,31279,8.0,0.096383,,
282,15,0.75,1370,31260,7.0,0.002017,,
283,15,0.75,1369,31333,8.0,0.107947,,
284,15,0.75,1401,31279,6.0,0.0004,,
285,15,0.75,1369,31318,8.0,0.021055,,
286,15,0.75,1416,31288,8.0,0.228334,,
287,15,0.75,1334,31288,7.0,0.002169,,
288,15,0.75,1329,31255,8.0,0.051016,,
289,15,0.75,1400,31269,7.0,0.000994,,
290,15,0.75,1357,31253,9.0,0.932338,,
291,15,0.75,1359,31255,8.0,0.026616,,
292,15,0.75,1334,31335,7.0,0.004554,,
293,15,0.75,1387,31307,7.0,0.003007,,
294,15,0.75,1329,31287,8.0,0.171633,,
295,15,0.75,1379,31259,8.0,0.042169,,
296,15,0.75,1344,31275,7.0,0.009026,,
297,15,0.75,1413,31329,10.0,2.215991,,
298,15,0.75,1373,31286,7.0,0.019155,,
299,15,0.75,1334,31247,7.0,0.006354,,
300,15,0.75,1331,31263,8.0,0.012239,,
301,15,0.75,1393,31310,8.0,0.050548,,
302,15,0.75,1408,31251,7.0,0.009217,,
303,15,0.75,1405,31309,7.0,0.00254,,
304,15,0.75,1401,31244,6.0,0.000912,,
305,15,0.75,1350,31334,7.0,0.010082,,
306,15,0.75,1335,31241,7.0,0.002513,,
307,15,0.75,1409,31259,6.0,0.000498,,
308,15,0.75,1420,31295,8.0,0.041135,,
309,15,0.75,1377,31322,8.0,0.038972,,
310,15,0.75,1418,31288,7.0,0.001605,,
311,15,0.75,1341,31313,8.0,0.348229,,
312,15,0.75,1382,31268,7.0,0.003094,,
313,15,0.75,1350,31277,7.0,0.003003,,
314,15,0.75,1393,31306,8.0,0.011009,,
315,15,0.75,1420,31283,8.0,0.029645,,
316,15,0.75,1372,31252,6.0,0.000558,,
317,15,0.75,1360,31237,6.0,0.00112,,
318,15,0.75,1385,31245,6.0,0.024653,,
319,15,0.75,1390,31294,8.0,0.510567,,
320,15,0.75,1340,31261,7.0,0.028825,,
321,15,0.75,1419,31247,8.0,0.050428,,
322,15,0.75,1383,31250,7.0,0.002468,,
323,15,0.75,1382,31269,7.0,0.001022,,
324,15,0.75,1403,31260,7.0,0.005349,,
325,15,0.75,1358,31249,6.0,0.001851,,
326,15,0.75,1326,31269,7.0,0.007426,,
327,15,0.75,1420,31262,8.0,0.019964,,
328,15,0.75,1405,31248,7.0,0.00323,,
329,15,0.75,1389,31277,7.0,0.06502,,
330,15,0.75,1394,31305,7.0,0.00577,,
331,15,0.75,1331,31286,8.0,0.030478,,
332,15,0.75,1326,31258,7.0,0.104831,,
333,15,0.75,1346,31247,9.0,0.175554,,
334,15,0.75,1358,31299,6.0,0.000842,,
335,15,0.75,1342,31323,7.0,0.002271,,
336,15,0.75,1422,31283,7.0,0.005527,,
337,15,0.75,1380,31249,7.0,0.004763,,
338,15,0.75,1410,31308,8.0,0.00629,,
339,15,0.75,1406,31312,8.0,0.244407,,
340,15,0.75,1361,31266,6.0,0.000943,,
341,15,0.75,1359,31247,8.0,0.012523,,
342,15,0.75,1333,31277,9.0,0.133347,,
343,15,0.75,1368,31274,7.0,0.005114,,
344,15,0.75,1382,31238,7.0,0.010141,,
345,15,0.75,1327,31272,7.0,0.007822,,
346,15,0.75,1359,31286,8.0,0.01776,,
347,15,0.75,1330,31303,7.0,0.024845,,
348,15,0.75,1409,31291,6.0,0.002854,,
349,15,0.75,1335,31299,7.0,0.007554,,
350,15,0.75,1359,31294,8.0,0.017224,,
351,15,0.75,1366,31289,8.0,0.003798,,
352,15,0.75,1372,31281,6.0,0.000365,,
353,15,0.75,1360,31245,6.0,0.000816,,
354,15,0.75,1377,31251,8.0,0.127566,,
355,15,0.75,1365,31250,7.0,0.000676,,
356,15,0.75,1361,31287,6.0,0.001943,,
357,15,0.75,1401,31287,6.0,0.002071,,
358,15,0.75,1346,31329,9.0,0.261306,,
359,15,0.75,1411,31321,7.0,0.00198,,
360,15,0.75,1354,31254,6.0,0.000232,,
361,15,0.75,1389,31248,7.0,0.01599,,
362,15,0.75,1337,31257,7.0,0.006011,,
363,15,0.75,1386,31306,8.0,0.038687,,
364,15,0.75,1351,31241,7.0,0.008387,,
365,15,0.75,1340,31285,7.0,0.007578,,
366,15,0.75,1343,31281,7.0,0.004192,,
367,15,0.75,1361,31333,6.0,0.002725,,
368,15,0.75,1335,31303,7.0,0.007341,,
369,15,0.75,1424,31264,8.0,0.120543,,
370,15,0.75,1423,31261,7.0,0.007334,,
371,15,0.75,1379,31289,8.0,0.132306,,
372,15,0.75,1328,31316,8.0,0.218001,,
373,15,0.75,1398,31269,7.0,0.010199,,
374,15,0.75,1424,31330,8.0,0.05394,,
375,15,0.75,1328,31284,8.0,0.062489,,
376,15,0.75,1383,31335,7.0,0.001881,,
377,15,0.75,1379,31297,8.0,0.084821,,
378,15,0.75,1327,31325,7.0,0.007007,,
379,15,0.75,1403,31301,7.0,0.0023,,
380,15,0.75,1331,31322,8.0,0.033444,,
381,15,0.75,1346,31317,9.0,0.260557,,
382,15,0.75,1415,31308,7.0,0.00115,,
383,15,0.75,1391,31255,9.0,0.435016,,
384,15,0.75,1398,31328,7.0,0.002035,,
385,15,0.75,1328,31297,8.0,0.147129,,
386,15,0.75,1330,31246,7.0,0.003726,,
387,15,0.75,1396,31309,7.0,0.007477,,
388,15,0.75,1407,31271,9.0,0.57226,,
389,15,0.75,1410,31239,8.0,0.14888,,
390,15,0.75,1419,31264,8.0,0.033201,,
391,15,0.75,1387,31326,7.0,0.005823,,
392,15,0.75,1331,31288,8.0,0.032429,,
393,15,0.75,1373,31309,7.0,0.004348,,
394,15,0.75,1415,31316,7.0,0.008212,,
395,15,0.75,1331,31247,8.0,0.002702,,
396,15,0.75,1351,31240,7.0,0.028568,,
397,15,0.75,1328,31335,8.0,0.015079,,
398,15,0.75,1344,31286,7.0,0.003366,,
399,15,0.75,1405,31259,7.0,0.006937,,
400,15,0.75,1352,31272,7.0,0.004041,,
401,15,0.75,1416,31312,8.0,0.064762,,
402,15,0.75,1381,31332,7.0,0.006831,,
403,15,0.75,1395,31270,8.0,0.010193,,
404,15,0.75,1379,31265,8.0,0.11923,,
405,15,0.75,1405,31293,7.0,0.002597,,
406,15,0.75,1402,31313,7.0,0.013084,,
407,15,0.75,1378,31242,7.0,0.006782,,
408,15,0.75,1385,31286,6.0,0.00041,,
409,15,0.75,1413,31243,10.0,3.595352,,
410,15,0.75,1348,31237,8.0,0.003416,,
411,15,0.75,1395,31291,8.0,0.231835,,
412,15,0.75,1378,31293,7.0,0.002396,,
413,15,0.75,1349,31279,8.0,0.097796,,
414,15,0.75,1397,31293,6.0,0.00126,,
415,15,0.75,1389,31243,7.0,0.005285,,
416,15,0.75,1395,31288,8.0,0.009177,,
417,15,0.75,1403,31294,7.0,0.001622,,
418,15,0.75,1381,31251,7.0,0.003326,,
419,15,0.75,1414,31320,8.0,0.006849,,
420,15,0.75,1385,31258,6.0,0.00118,,
421,15,0.75,1334,31271,7.0,0.002036,,
422,15,0.75,1391,31255,9.0,0.424435,,
423,15,0.75,1352,31318,7.0,0.013926,,
424,15,0.75,1358,31274,6.0,0.0007,,
425,15,0.75,1374,31335,7.0,0.000989,,
426,15,0.75,1351,31288,7.0,0.019796,,
427,15,0.75,1342,31248,7.0,0.004735,,
428,15,0.75,1348,31263,8.0,0.011681,,
429,15,0.75,1347,31261,7.0,0.00413,,
430,15,0.75,1362,31285,7.0,0.008671,,
431,15,0.75,1345,31305,6.0,0.000729,,
432,15,0.75,1353,31251,7.0,0.00434,,
433,15,0.75,1397,31273,6.0,0.00334,,
434,15,0.75,1363,31273,7.0,0.032327,,
435,15,0.75,1343,31303,7.0,0.004024,,
436,15,0.75,1398,31309,7.0,0.006985,,
437,15,0.75,1382,31318,7.0,0.005756,,
438,15,0.75,1397,31316,6.0,0.001121,,
439,15,0.75,1420,31279,8.0,0.156467,,
440,15,0.75,1371,31304,7.0,0.001839,,
441,15,0.75,1385,31242,6.0,0.016521,,
442,15,0.75,1344,31298,7.0,0.000779,,
443,15,0.75,1375,31292,7.0,0.012425,,
444,15,0.75,1411,31312,7.0,0.003164,,
445,15,0.75,1406,31319,8.0,0.235273,,
446,15,0.75,1364,31317,7.0,0.041926,,
447,15,0.75,1357,31309,9.0,0.897008,,
448,15,0.75,1406,31328,8.0,0.108283,,
449,15,0.75,1363,31303,7.0,0.003094,,
450,15,0.75,1391,31296,9.0,0.300916,,
451,15,0.75,1360,31248,6.0,0.000656,,
452,15,0.75,1391,31241,9.0,0.413059,,
453,15,0.75,1407,31288,9.0,0.376952,,
454,15,0.75,1348,31266,8.0,0.039129,,
455,15,0.75,1404,31249,7.0,0.005083,,
456,15,0.75,1347,31294,7.0,0.002991,,
457,15,0.75,1424,31294,8.0,0.012863,,
458,15,0.75,1410,31320,8.0,0.413931,,
459,15,0.75,1420,31324,8.0,0.063201,,
460,15,0.75,1347,31308,7.0,0.005638,,
461,15,0.75,1419,31325,8.0,0.041017,,
462,15,0.75,1382,31333,7.0,0.053005,,
463,15,0.75,1374,31330,7.0,0.001497,,
464,15,0.75,1336,31270,7.0,0.01084,,
465,15,0.75,1421,31303,8.0,0.022836,,
466,15,0.75,1334,31334,7.0,0.005108,,
467,15,0.75,1344,31276,7.0,0.006383,,
468,15,0.75,1396,31268,7.0,0.007035,,
469,15,0.75,1367,31334,6.0,0.000138,,
470,15,0.75,1412,31241,7.0,0.006914,,
471,15,0.75,1400,31255,7.0,0.000691,,
472,15,0.75,1374,31299,7.0,0.000857,,
473,15,0.75,1346,31282,9.0,0.50949,,
474,15,0.75,1366,31260,8.0,0.034032,,
475,15,0.75,1399,31309,7.0,0.00313,,
476,15,0.75,1423,31281,7.0,0.015214,,
477,15,0.75,1420,31331,8.0,0.110545,,
478,15,0.75,1377,31287,8.0,0.125151,,
479,15,0.75,1358,31249,6.0,0.001858,,
480,15,0.75,1331,31281,8.0,0.005799,,
481,15,0.75,1409,31287,6.0,0.000497,,
482,15,0.75,1409,31286,6.0,0.000384,,
483,15,0.75,1358,31299,6.0,0.000766,,
484,15,0.75,1383,31281,7.0,0.001099,,
485,15,0.75,1398,31284,7.0,0.006364,,
486,15,0.75,1396,31324,7.0,0.030305,,
487,15,0.75,1421,31280,8.0,0.141761,,
488,15,0.75,1414,31292,8.0,0.004502,,
489,15,0.75,1383,31292,7.0,0.002118,,
490,15,0.75,1381,31237,7.0,0.009769,,
491,15,0.75,1425,31244,7.0,0.001721,,
492,15,0.75,1339,31261,7.0,0.021656,,
493,15,0.75,1376,31247,7.0,0.002518,,
494,15,0.75,1411,31249,7.0,0.003646,,
495,15,0.75,1389,31328,7.0,0.001164,,
496,15,0.75,1342,31320,7.0,0.018505,,
497,15,0.75,1417,31284,7.0,0.01126,,
498,15,0.75,1341,31333,8.0,0.068111,,
499,15,0.75,1366,31257,8.0,0.04182,,
500,15,0.75,1376,31300,7.0,0.000529,,
501,15,0.75,1337,31269,7.0,0.036692,,
502,15,0.75,1348,31263,8.0,0.011905,,
503,15,0.75,1375,31293,7.0,0.006964,,
504,15,0.75,1397,31251,6.0,0.000273,,
