,Exams,Percentage,Seed1,Seed2,Solution_code2,Time_code2
0,27,0.0,1382,31273,1,0.000266
1,3,0.0,1358,31320,1,5e-06
2,27,0.0,1337,31331,1,0.000269
3,19,0.0,1336,31320,1,0.000125
4,4,0.0,1351,31245,1,6e-06
5,44,0.0,1406,31331,1,0.000764
6,47,0.0,1404,31264,1,0.000845
7,23,0.0,1410,31278,1,0.000224
8,3,0.0,1356,31312,1,4e-06
9,13,0.0,1412,31240,1,5.7e-05
10,23,0.0,1402,31256,1,0.000193
11,6,0.0,1355,31314,1,1.2e-05
12,14,0.0,1397,31291,1,7.3e-05
13,39,0.0,1407,31298,1,0.000544
14,20,0.0,1415,31249,1,0.000142
15,48,0.0,1330,31279,1,0.000824
16,25,0.0,1405,31332,1,0.000235
17,44,0.0,1341,31309,1,0.000679
18,31,0.0,1347,31237,1,0.000341
19,27,0.0,1376,31242,1,0.000259
20,41,0.0,1373,31283,1,0.000602
21,3,0.0,1332,31290,1,6e-06
22,45,0.0,1335,31329,1,0.000732
23,5,0.0,1395,31304,1,9e-06
24,10,0.0,1334,31300,1,3.4e-05
25,33,0.0,1354,31288,1,0.000402
26,15,0.0,1410,31256,1,7.8e-05
27,3,0.0,1421,31282,1,5e-06
28,19,0.0,1353,31332,1,0.00013
29,8,0.0,1369,31305,1,2.1e-05
30,32,0.0,1345,31297,1,0.000374
31,26,0.0,1341,31253,1,0.000245
32,30,0.0,1372,31252,1,0.000323
33,42,0.0,1365,31299,1,0.000656
34,30,0.0,1356,31249,1,0.000328
35,35,0.0,1379,31258,1,0.000451
